60,481000
59,475000
58,465000
57,496000
56,477000
55,433000
54,453000
53,415000
52,497000
51,492000
50,461000
49,457000
48,447000
47,423000
46,493000
45,489000
44,434000
43,426000
42,489000
41,467000
40,367000
39,438000
38,372000
37,452000
36,402000
35,400000
34,298000
33,453000
32,483000
31,423000
30,527000
29,465000
28,499000
27,469000
26,450000
25,366000
24,421000
23,418000
22,481000
21,439000
20,449000
19,470000
18,453000
17,475000
16,463000
15,407000
14,455000
13,441000
12,504000
11,424000
10,447000
9,465000
8,487000
7,375000
6,383000
5,349000
4,453000
3,521000
2,352000
1,468000
