60,373000
59,335000
58,353000
57,343000
56,346000
55,369000
54,335000
53,381000
52,385000
51,428000
50,356000
49,370000
48,397000
47,387000
46,394000
45,392000
44,373000
43,353000
42,344000
41,294000
40,312000
39,354000
38,337000
37,377000
36,344000
35,319000
34,335000
33,324000
32,341000
31,345000
30,292000
29,313000
28,331000
27,331000
26,366000
25,378000
24,367000
23,325000
22,391000
21,363000
20,366000
19,351000
18,387000
17,354000
16,411000
15,357000
14,351000
13,343000
12,361000
11,314000
10,398000
9,340000
8,386000
7,363000
6,307000
5,351000
4,341000
3,382000
2,400000
1,346000
