60,104000
59,102000
58,102000
57,101000
56,101000
55,101000
54,100000
53,98700
52,101000
51,101000
50,101000
49,101000
48,102000
47,102000
46,101000
45,100000
44,100000
43,103000
42,102000
41,102000
40,102000
39,102000
38,102000
37,104000
36,102000
35,102000
34,102000
33,101000
32,101000
31,102000
30,102000
29,101000
28,102000
27,101000
26,101000
25,102000
24,102000
23,103000
22,102000
21,102000
20,102000
19,100000
18,102000
17,102000
16,102000
15,103000
14,102000
13,101000
12,103000
11,103000
10,103000
9,103000
8,104000
7,98400
6,103000
5,103000
4,104000
3,103000
2,102000
1,103000
