60,283000
59,269000
58,278000
57,279000
56,279000
55,264000
54,261000
53,262000
52,264000
51,247000
50,240000
49,246000
48,282000
47,272000
46,279000
45,274000
44,283000
43,229000
42,254000
41,269000
40,278000
39,292000
38,283000
37,292000
36,270000
35,282000
34,269000
33,281000
32,266000
31,283000
30,258000
29,258000
28,281000
27,283000
26,281000
25,250000
24,275000
23,277000
22,272000
21,279000
20,287000
19,273000
18,264000
17,297000
16,280000
15,294000
14,269000
13,290000
12,274000
11,268000
10,253000
9,261000
8,268000
7,289000
6,279000
5,271000
4,275000
3,269000
2,278000
1,280000
