60,352000
59,354000
58,345000
57,357000
56,337000
55,339000
54,350000
53,335000
52,339000
51,337000
50,352000
49,330000
48,336000
47,315000
46,328000
45,351000
44,394000
43,333000
42,335000
41,339000
40,342000
39,325000
38,359000
37,330000
36,343000
35,315000
34,312000
33,343000
32,337000
31,325000
30,315000
29,313000
28,319000
27,328000
26,343000
25,255000
24,296000
23,323000
22,303000
21,302000
20,304000
19,341000
18,342000
17,329000
16,359000
15,349000
14,390000
13,336000
12,341000
11,373000
10,345000
9,331000
8,337000
7,344000
6,359000
5,328000
4,354000
3,326000
2,348000
1,334000
