60,249000
59,258000
58,247000
57,258000
56,256000
55,249000
54,258000
53,255000
52,254000
51,239000
50,251000
49,253000
48,248000
47,265000
46,243000
45,256000
44,252000
43,259000
42,258000
41,253000
40,265000
39,241000
38,247000
37,268000
36,277000
35,261000
34,249000
33,262000
32,247000
31,243000
30,256000
29,247000
28,245000
27,248000
26,271000
25,252000
24,264000
23,268000
22,253000
21,256000
20,246000
19,250000
18,269000
17,279000
16,250000
15,241000
14,243000
13,246000
12,258000
11,286000
10,252000
9,254000
8,245000
7,257000
6,251000
5,258000
4,244000
3,273000
2,269000
1,243000
