60,335000
59,316000
58,319000
57,316000
56,323000
55,315000
54,314000
53,335000
52,338000
51,311000
50,318000
49,316000
48,323000
47,320000
46,314000
45,315000
44,318000
43,324000
42,321000
41,302000
40,330000
39,327000
38,312000
37,359000
36,347000
35,309000
34,313000
33,309000
32,321000
31,322000
30,351000
29,328000
28,319000
27,308000
26,306000
25,312000
24,326000
23,311000
22,306000
21,321000
20,309000
19,315000
18,312000
17,318000
16,314000
15,343000
14,324000
13,316000
12,331000
11,311000
10,325000
9,305000
8,324000
7,296000
6,353000
5,309000
4,313000
3,337000
2,325000
1,298000
