60,333000
59,341000
58,329000
57,331000
56,298000
55,310000
54,310000
53,334000
52,332000
51,340000
50,307000
49,316000
48,303000
47,332000
46,324000
45,310000
44,314000
43,303000
42,304000
41,296000
40,318000
39,324000
38,297000
37,301000
36,305000
35,313000
34,312000
33,305000
32,308000
31,313000
30,278000
29,303000
28,305000
27,329000
26,318000
25,318000
24,302000
23,308000
22,291000
21,313000
20,306000
19,307000
18,309000
17,322000
16,317000
15,333000
14,341000
13,304000
12,325000
11,295000
10,310000
9,307000
8,294000
7,289000
6,301000
5,333000
4,349000
3,316000
2,308000
1,311000
